Japanese|Romaji|English
行ってみる価値がある|itte miru kachi ga aru|worth trying to go|2
食べてみた結果|tabete mita kekka|as a result of trying to eat|2
見てみると分かる|mite miru to wakaru|if you try seeing|2
やってみろ|yatte miro|try doing it (command)|2
書いてみなさい|kaite minasai|try writing|2
読んでみてください|yonde mite kudasai|please try reading|2
行ってみたらいい|itte mitara ii|you should try going|2
食べてみてもいい|tabete mite mo ii|may try eating|2
見てみても構わない|mite mite mo kamawanai|okay to try seeing|2
やってみても無駄だ|yatte mite mo muda da|trying is useless|2
書いてみたが失敗した|kaite mita ga shippai shita|tried writing but failed|2
読んでみたところで変わらない|yonde mita tokoro de kawaranai|even if you try reading|2
行ってみたところで同じだ|itte mita tokoro de onaji da|even if you go|2
食べてみたところで意味がない|tabete mita tokoro de imi ga nai|no point trying to eat|2
見てみたところで分からない|mite mita tokoro de wakaranai|won’t understand even if you try seeing|2
やらせてみた|yarasete mita|tried making someone do|2
書かせてみた|kakasete mita|tried making someone write|2
読ませてみた|yomasete mita|tried making someone read|2
行かせてみた|ikasete mita|tried making someone go|2
食べさせてみた|tabesasete mita|tried making someone eat|2
見させてみた|misasete mita|tried making someone see|2
やらされてみた|yarasarete mita|tried being made to do|2
書かされてみた|kakasarete mita|tried being made to write|2
読まされてみた|yomasarete mita|tried being made to read|2
行かされてみた|ikasarete mita|tried being made to go|2
食べさせられてみた|tabesaserarete mita|tried being made to eat|2
見させられてみた|misasaserarete mita|tried being made to see|2
書かずには済まない|kakazu ni wa sumanai|cannot get away without writing|2
行かずには済まなかった|ikazu ni wa sumanakatta|could not avoid going|2
食べるまでもない|taberu made mo nai|not necessary to eat|2
言うまでもなく|iu made mo naku|needless to say|2
見るともなく見る|miru tomo naku miru|glance at unintentionally|2
聞くともなしに聞く|kiku tomo nashi ni kiku|hear unintentionally|2
やるともなくやる|yaru tomo naku yaru|do absentmindedly|2
考えるに難くない|kangaeru ni katakunai|easy to imagine|2
想像するに難くない|souzou suru ni katakunai|easy to imagine|2
理解するに難くない|rikai suru ni katakunai|easy to understand|2
待つには及ばない|matsu ni wa oyobanai|no need to wait|2
心配するには及ばない|shinpai suru ni wa oyobanai|no need to worry|2
言うにはあたらない|iu ni wa ataranai|not worth mentioning|2
非難するにはあたらない|hinan suru ni wa ataranai|not worth blaming|2
驚くにはあたらない|odoroku ni wa ataranai|not surprising|2
やらないではすまない|yaranai de wa sumanai|cannot avoid doing|2
行かないではすまなかった|ikanai de wa sumanakatta|could not avoid going|2
食べないではいられない|tabenai de wa irarenai|cannot help but eat|2
見ないではいられない|minai de wa irarenai|cannot help but watch|2
言わないではおかない|iwanai de wa okanai|won’t leave it unsaid|2
やらないではおかない|yaranai de wa okanai|won’t leave it undone|2
書かないではおかない|kakanai de wa okanai|won’t leave it unwritten|2
読まないではおかない|yomanai de wa okanai|won’t leave it unread|2
行かないではおかない|ikanai de wa okanai|will definitely go|2
食べないではおかない|tabenai de wa okanai|will definitely eat|2
見ないではおかない|minai de wa okanai|will definitely watch|2
やるまいと思う|yarumai to omou|think will not do|2
行くまいと決めた|ikumai to kimeta|decided not to go|2
食べるまいとしている|taberumai to shite iru|trying not to eat|2
言うまいとして言わない|iumai to shite iwanai|try not to say|2
見るまいとする|mirumai to suru|attempt not to look|2
やらずじまいだ|yarazu jimai da|ended up not doing|2
行かずじまいだった|ikazu jimai datta|ended up not going|2
食べずじまいだった|tabezu jimai datta|ended up not eating|2
言わずじまいだった|iwazu jimai datta|ended up not saying|2
見ることなく終わった|miru koto naku owatta|ended without seeing|2
やることなく終わった|yaru koto naku owatta|ended without doing|2
行くことなく帰った|iku koto naku kaetta|returned without going|2
食べることなく寝た|taberu koto naku neta|went to bed without eating|2
言うことなく去った|iu koto naku satta|left without saying|2
見ることなしに判断する|miru koto nashi ni handan suru|judge without seeing|2
やることなしに終える|yaru koto nashi ni oeru|finish without doing|2
行くことなしに済ませる|iku koto nashi ni sumaseru|settle without going|2
食べることなしに生きる|taberu koto nashi ni ikiru|live without eating|2
言うことなしに理解する|iu koto nashi ni rikai suru|understand without saying|2
やるどころか何もしない|yaru dokoro ka nani mo shinai|far from doing|2
行くどころか外出しない|iku dokoro ka gaishutsu shinai|far from going out|2
食べるどころか飲まない|taberu dokoro ka nomanai|far from eating|2
言うどころか黙っている|iu dokoro ka damatte iru|far from speaking|2
見るどころか無視する|miru dokoro ka mushi suru|far from seeing|2
やるどころではない|yaru dokoro de wa nai|not the time to do|2
行くどころではない|iku dokoro de wa nai|not in a position to go|2
食べるどころではない|taberu dokoro de wa nai|not in a position to eat|2
言うどころではない|iu dokoro de wa nai|not in a position to say|2
見るどころではない|miru dokoro de wa nai|not in a position to watch|2
やったきり戻らない|yatta kiri modoranai|did it and never returned|2
行ったきり帰らない|itta kiri kaeranai|went and never came back|2
食べたきり何も言わない|tabetakiri nani mo iwanai|ate and said nothing after|2
言ったきり連絡がない|itta kiri renraku ga nai|said it and no contact since|2
見たきり忘れた|mitakiri wasureta|saw it once and forgot|2
やりきれない気持ち|yarikirenai kimochi|feeling unable to finish/endure|2
言いきれない思い|iikirenai omoi|feelings impossible to express fully|2
書ききれない量|kakikirenai ryou|amount too much to write|2
読みきれない本|yomikirenai hon|book too long to finish|2
食べきれない量|tabekirenai ryou|too much to eat|2
やりぬく力|yarinuku chikara|ability to carry through|2
やりぬいた|yarinuita|carried through to the end|2
書きぬいた|kakinuita|wrote to completion|2
読みぬいた|yominuita|read through completely|2
食べぬいた|tabenuita|ate through entirely|2
やりかねる|yarikaneru|cannot bring oneself to do|2
言いかねる|iikaneru|hesitate to say|2
書きかねる|kakikaneru|hesitate to write|2
読みかねる|yomikaneru|hesitate to read|2
行きかねる|ikikaneru|hesitate to go|2
やりかねない|yarikanenai|might do (bad outcome)|2
言いかねない|iikanenai|might say (undesirable)|2
書きかねない|kakikanenai|might write (risk)|2
読みかねない|yomikanenai|might misread|2
行きかねない|ikikanenai|might go (undesirable)|2
やりようがない|yariyou ga nai|no way to do|2
言いようがない|iiyou ga nai|indescribable|2
書きようがない|kakiyou ga nai|no way to write|2
読みようがない|yomiyou ga nai|no way to read|2
行きようがない|ikiyou ga nai|no way to go|2
やりようによっては可能|yariyou ni yotte wa kanou|depending on method possible|2
言いようによっては正しい|iiyou ni yotte wa tadashii|depending how you say it correct|2
書きようによっては伝わる|kakiyou ni yotte wa tsutawaru|depending how you write it conveys|2
読みようによっては違う|yomiyou ni yotte wa chigau|depends how you read it|2
行きようによっては危険|ikiyou ni yotte wa kiken|depending how you go dangerous|2
ここ最近、日本語の勉強は順調に進んでいます。|koko saikin, nihongo no benkyou wa junchou ni susunde imasu.|My Japanese studies have been progressing well lately.|1
もし時間があれば、この本を読んでみてください。|moshi jikan ga areba, kono hon o yonde mite kudasai.|If you have time, please try reading this book.|1
彼は会議に遅れるかもしれません。|kare wa kaigi ni okureru kamo shiremasen.|He might be late for the meeting.|1
そんなに急がなくても大丈夫ですよ。|sonna ni isoganakute mo daijoubu desu yo.|You don’t have to hurry that much.|1
結果については後で説明します。|kekka ni tsuite wa ato de setsumei shimasu.|I’ll explain the results later.|1
この問題は思ったより複雑です。|kono mondai wa omotta yori fukuzatsu desu.|This problem is more complicated than I thought.|1
できるだけ早く返信してください。|dekiru dake hayaku henshin shite kudasai.|Please reply as soon as possible.|1
彼女は自分の意見をはっきり言う。|kanojo wa jibun no iken o hakkiri iu.|She clearly states her opinions.|1
予定が変更になる可能性があります。|yotei ga henkou ni naru kanousei ga arimasu.|There is a possibility the schedule will change.|1
それについてどう思いますか。|sore ni tsuite dou omoimasu ka.|What do you think about that?|1
この件は慎重に検討する必要があります。|kono ken wa shinchou ni kentou suru hitsuyou ga arimasu.|This matter needs careful consideration.|1
彼は責任を取るべきだと思います。|kare wa sekinin o toru beki da to omoimasu.|I think he should take responsibility.|1
どちらを選んでも大差はありません。|dochira o erande mo taisa wa arimasen.|Whichever you choose, there’s not much difference.|1
時間が経つにつれて理解が深まりました。|jikan ga tatsu ni tsurete rikai ga fukamarimashita.|As time passed, my understanding deepened.|1
この機会を逃したくありません。|kono kikai o nogashitaku arimasen.|I don’t want to miss this opportunity.|1
彼の説明は少し分かりにくかった。|kare no setsumei wa sukoshi wakarinikukatta.|His explanation was a bit hard to understand.|1
結果的に成功したと言えるでしょう。|kekkateki ni seikou shita to ieru deshou.|In the end, it can be said it succeeded.|1
その提案には賛成できません。|sono teian ni wa sansei dekimasen.|I cannot agree with that proposal.|1
予想以上に時間がかかりました。|yosou ijou ni jikan ga kakarimashita.|It took more time than expected.|1
彼は状況を正確に把握している。|kare wa joukyou o seikaku ni haaku shite iru.|He accurately understands the situation.|1
一度試してみる価値があります。|ichido tameshite miru kachi ga arimasu.|It’s worth trying once.|1
このデータは信頼性が高いです。|kono deeta wa shinraisei ga takai desu.|This data is highly reliable.|1
何が原因なのか調べています。|nani ga gen'in na no ka shirabete imasu.|I’m investigating the cause.|1
それは単なる誤解に過ぎません。|sore wa tannaru gokai ni sugimasen.|That’s nothing more than a misunderstanding.|1
彼女は経験が豊富です。|kanojo wa keiken ga houfu desu.|She has a lot of experience.|1
この方法の方が効率的です。|kono houhou no hou ga kouritsuteki desu.|This method is more efficient.|1
全体的に見れば問題ありません。|zentaiteki ni mireba mondai arimasen.|Overall, there’s no problem.|1
その結果に満足しています。|sono kekka ni manzoku shite imasu.|I am satisfied with the result.|1
話し合いによって解決しました。|hanashiai ni yotte kaiketsu shimashita.|It was resolved through discussion.|1
状況に応じて対応してください。|joukyou ni oujite taiou shite kudasai.|Please respond according to the situation.|1
この点について補足します。|kono ten ni tsuite hosoku shimasu.|I will add a supplement to this point.|1
それが最善の選択だと思います。|sore ga saizen no sentaku da to omoimasu.|I think that’s the best choice.|1
少し考えさせてください。|sukoshi kangae sasete kudasai.|Please let me think about it.|1
この案にはいくつか問題があります。|kono an ni wa ikutsuka mondai ga arimasu.|This plan has several issues.|1
どのように対処すべきでしょうか。|dono you ni taisho subeki deshou ka.|How should we deal with it?|1
時間内に終わらせる必要があります。|jikan nai ni owaraseru hitsuyou ga arimasu.|We need to finish within the time.|1
彼の意見を尊重するべきです。|kare no iken o sonchou suru beki desu.|We should respect his opinion.|1
これ以上遅れるわけにはいきません。|kore ijou okureru wake ni wa ikimasen.|We can’t afford any more delays.|1
その点は理解しています。|sono ten wa rikai shite imasu.|I understand that point.|1
結論に達するまで時間がかかる。|ketsuron ni tassuru made jikan ga kakaru.|It takes time to reach a conclusion.|1
この計画は実現可能です。|kono keikaku wa jitsugen kanou desu.|This plan is feasible.|1
問題を解決するために努力しています。|mondai o kaiketsu suru tame ni doryoku shite imasu.|I’m working to solve the problem.|1
彼は信頼できる人物です。|kare wa shinrai dekiru jinbutsu desu.|He is a trustworthy person.|1
結果はまだ確定していません。|kekka wa mada kakutei shite imasen.|The result is not finalized yet.|1
この問題に取り組んでいます。|kono mondai ni torikunde imasu.|I am working on this issue.|1
必要に応じて調整します。|hitsuyou ni oujite chousei shimasu.|I will adjust as necessary.|1
少しずつ改善されています。|sukoshi zutsu kaizen sarete imasu.|It is gradually improving.|1
その理由を説明してください。|sono riyuu o setsumei shite kudasai.|Please explain the reason.|1
その結果を分析しています。|sono kekka o bunseki shite imasu.|I am analyzing the results.|1
条件によって異なります。|jouken ni yotte kotonarimasu.|It depends on the conditions.|1
その点については同意します。|sono ten ni tsuite wa doui shimasu.|I agree on that point.|1
結局のところ、努力が重要です。|kekkyoku no tokoro, doryoku ga juuyou desu.|In the end, effort is important.|1
詳細は後ほど共有します。|shousai wa nochihodo kyouyuu shimasu.|Details will be shared later.|1
この提案を検討してください。|kono teian o kentou shite kudasai.|Please consider this proposal.|1
結果に基づいて判断します。|kekka ni motozuite handan shimasu.|We will decide based on results.|1
この問題は無視できません。|kono mondai wa mushi dekimasen.|This issue cannot be ignored.|1
彼の態度には問題があります。|kare no taido ni wa mondai ga arimasu.|There is a problem with his attitude.|1
時間を無駄にしないでください。|jikan o muda ni shinaide kudasai.|Please don’t waste time.|1
慎重に進める必要があります。|shinchou ni susumeru hitsuyou ga arimasu.|We need to proceed carefully.|1
その結果が気になります。|sono kekka ga ki ni narimasu.|I’m curious about the result.|1
いくつかの選択肢があります。|ikutsuka no sentakushi ga arimasu.|There are several options.|1
その意見には納得できません。|sono iken ni wa nattoku dekimasen.|I can’t accept that opinion.|1
結論はまだ出ていません。|ketsuron wa mada dete imasen.|No conclusion has been reached yet.|1
状況が改善されることを期待しています。|joukyou ga kaizen sareru koto o kitai shite imasu.|I hope the situation improves.|1
彼は冷静に対応しました。|kare wa reisei ni taiou shimashita.|He handled it calmly.|1
それについて詳しく教えてください。|sore ni tsuite kuwashiku oshiete kudasai.|Please tell me more about that.|1
この問題は解決可能です。|kono mondai wa kaiketsu kanou desu.|This problem can be solved.|1
時間が足りないかもしれません。|jikan ga tarinai kamo shiremasen.|We might not have enough time.|1
彼女の説明は説得力があります。|kanojo no setsumei wa settokuryoku ga arimasu.|Her explanation is persuasive.|1
その影響は大きいです。|sono eikyou wa ookii desu.|The impact is large.|1
必要な情報を集めています。|hitsuyou na jouhou o atsumete imasu.|I am gathering necessary information.|1
その方法は効果的です。|sono houhou wa koukateki desu.|That method is effective.|1
判断を下すのは難しいです。|handan o kudasu no wa muzukashii desu.|It’s difficult to make a decision.|1
今後の対応を検討中です。|kongo no taiou o kentouchuu desu.|Future actions are under consideration.|1
その問題を見逃しました。|sono mondai o minogashimashita.|I overlooked that issue.|1
彼は期待に応えました。|kare wa kitai ni kotaemashita.|He met expectations.|1
全てが順調に進んでいます。|subete ga junchou ni susunde imasu.|Everything is going smoothly.|1
少し時間をください。|sukoshi jikan o kudasai.|Please give me some time.|1
それは重要なポイントです。|sore wa juuyou na pointo desu.|That is an important point.|1
解決策を見つけました。|kaiketsusaku o mitsukemashita.|I found a solution.|1
その意図が分かりません。|sono ito ga wakarimasen.|I don’t understand the intention.|1
全力を尽くします。|zenryoku o tsukushimasu.|I will do my best.|1
この点は見直す必要があります。|kono ten wa minaosu hitsuyou ga arimasu.|This point needs to be reviewed.|1
彼は状況に適応しています。|kare wa joukyou ni tekiou shite imasu.|He is adapting to the situation.|1
問題の本質を理解する必要があります。|mondai no honshitsu o rikai suru hitsuyou ga arimasu.|We need to understand the essence of the problem.|1
その結果は予想通りでした。|sono kekka wa yosou doori deshita.|The result was as expected.|1
それを証明することは難しいです。|sore o shoumei suru koto wa muzukashii desu.|It’s difficult to prove that.|1
改善の余地があります。|kaizen no yochi ga arimasu.|There is room for improvement.|1
これ以上の説明は不要です。|kore ijou no setsumei wa fuyou desu.|No further explanation is needed.|1
その件は既に対応済みです。|sono ken wa sude ni taiou zumi desu.|That matter has already been handled.|1
全体像を把握してください。|zentaizou o haaku shite kudasai.|Please grasp the big picture.|1
